CAUSE,CAUSEIDX,AGEGROUP,DEATHS
Diseases of the digestive system,K00-K93,95-99,168
Diseases of the digestive system,K00-K93,100+,25
Skin diseases,L00-L99,0-4,0
Skin diseases,L00-L99,5-9,0
Skin diseases,L00-L99,10-14,0
Skin diseases,L00-L99,15-19,0
Skin diseases,L00-L99,20-24,0
Skin diseases,L00-L99,25-29,0
Skin diseases,L00-L99,30-34,0
Skin diseases,L00-L99,35-39,0
Skin diseases,L00-L99,40-44,1
Skin diseases,L00-L99,45-49,2
Skin diseases,L00-L99,50-54,1
Skin diseases,L00-L99,55-59,4
Skin diseases,L00-L99,60-64,3
Skin diseases,L00-L99,65-69,12
Skin diseases,L00-L99,70-74,17
Skin diseases,L00-L99,75-79,34
Skin diseases,L00-L99,80-84,57
Skin diseases,L00-L99,85-89,82
Skin diseases,L00-L99,90-94,71
Skin diseases,L00-L99,95-99,31
Skin diseases,L00-L99,100+,6
Muscle and articulation diseases,M00-M99,0-4,1
Muscle and articulation diseases,M00-M99,5-9,0
Muscle and articulation diseases,M00-M99,10-14,1
Muscle and articulation diseases,M00-M99,15-19,2
Muscle and articulation diseases,M00-M99,20-24,3
Muscle and articulation diseases,M00-M99,25-29,0
Muscle and articulation diseases,M00-M99,30-34,2
Muscle and articulation diseases,M00-M99,35-39,2
Muscle and articulation diseases,M00-M99,40-44,2
Muscle and articulation diseases,M00-M99,45-49,5
Muscle and articulation diseases,M00-M99,50-54,7
Muscle and articulation diseases,M00-M99,55-59,13
Muscle and articulation diseases,M00-M99,60-64,26
Muscle and articulation diseases,M00-M99,65-69,39
Muscle and articulation diseases,M00-M99,70-74,42
Muscle and articulation diseases,M00-M99,75-79,68
Muscle and articulation diseases,M00-M99,80-84,118
Muscle and articulation diseases,M00-M99,85-89,144
Muscle and articulation diseases,M00-M99,90-94,94
Muscle and articulation diseases,M00-M99,95-99,30
Muscle and articulation diseases,M00-M99,100+,2
Diseases of the genitourinary system,N00-N99,0-4,1
Diseases of the genitourinary system,N00-N99,5-9,0
Diseases of the genitourinary system,N00-N99,10-14,0
Diseases of the genitourinary system,N00-N99,15-19,0
Diseases of the genitourinary system,N00-N99,20-24,0
Diseases of the genitourinary system,N00-N99,25-29,0
Diseases of the genitourinary system,N00-N99,30-34,0
Diseases of the genitourinary system,N00-N99,35-39,3
Diseases of the genitourinary system,N00-N99,40-44,6
Diseases of the genitourinary system,N00-N99,45-49,10
Diseases of the genitourinary system,N00-N99,50-54,17
Diseases of the genitourinary system,N00-N99,55-59,28
Diseases of the genitourinary system,N00-N99,60-64,47
Diseases of the genitourinary system,N00-N99,65-69,109
Diseases of the genitourinary system,N00-N99,70-74,138
Diseases of the genitourinary system,N00-N99,75-79,241
Diseases of the genitourinary system,N00-N99,80-84,569
Diseases of the genitourinary system,N00-N99,85-89,847
Diseases of the genitourinary system,N00-N99,90-94,671
Diseases of the genitourinary system,N00-N99,95-99,197
Diseases of the genitourinary system,N00-N99,100+,27
Pregnancy-linked diseases,O00-O99,15-19,0
Pregnancy-linked diseases,O00-O99,20-24,0
Pregnancy-linked diseases,O00-O99,25-29,1
Pregnancy-linked diseases,O00-O99,30-34,0
Pregnancy-linked diseases,O00-O99,35-39,3
Pregnancy-linked diseases,O00-O99,40-44,0
Pregnancy-linked diseases,O00-O99,45-49,0
Perinatal period diseases,P00-P96,0-4,204
Perinatal period diseases,P00-P96,5-9,0
Perinatal period diseases,P00-P96,10-14,0
Perinatal period diseases,P00-P96,15-19,0
Perinatal period diseases,P00-P96,20-24,0
Perinatal period diseases,P00-P96,25-29,0
Perinatal period diseases,P00-P96,30-34,0
Perinatal period diseases,P00-P96,35-39,0
Perinatal period diseases,P00-P96,40-44,1
Birth defects,Q00-Q99,0-4,106
Birth defects,Q00-Q99,5-9,6
Birth defects,Q00-Q99,10-14,3
Birth defects,Q00-Q99,15-19,3
Birth defects,Q00-Q99,20-24,8
Birth defects,Q00-Q99,25-29,3
Birth defects,Q00-Q99,30-34,4
Birth defects,Q00-Q99,35-39,1
Birth defects,Q00-Q99,40-44,3
Birth defects,Q00-Q99,45-49,11
Birth defects,Q00-Q99,50-54,11
Birth defects,Q00-Q99,55-59,23
Birth defects,Q00-Q99,60-64,30
Birth defects,Q00-Q99,65-69,11
Birth defects,Q00-Q99,70-74,9
Birth defects,Q00-Q99,75-79,4
Birth defects,Q00-Q99,80-84,4
Birth defects,Q00-Q99,85-89,4
Birth defects,Q00-Q99,90-94,2
Birth defects,Q00-Q99,95-99,1
Birth defects,Q00-Q99,100+,0
Other diseases,R00-R99,0-4,38
Other diseases,R00-R99,5-9,4
Other diseases,R00-R99,10-14,6
Other diseases,R00-R99,15-19,8
Other diseases,R00-R99,20-24,26
Other diseases,R00-R99,25-29,29
Other diseases,R00-R99,30-34,25
Other diseases,R00-R99,35-39,47
Other diseases,R00-R99,40-44,65
Other diseases,R00-R99,45-49,122
Other diseases,R00-R99,50-54,159
Other diseases,R00-R99,55-59,261
Other diseases,R00-R99,60-64,357
Other diseases,R00-R99,65-69,397
Other diseases,R00-R99,70-74,424
Other diseases,R00-R99,75-79,572
Other diseases,R00-R99,80-84,906
Other diseases,R00-R99,85-89,1252
Other diseases,R00-R99,90-94,1267
Other diseases,R00-R99,95-99,572
Other diseases,R00-R99,100+,178
External causes,V01-Y98,0-4,24
External causes,V01-Y98,5-9,16
External causes,V01-Y98,10-14,12
External causes,V01-Y98,15-19,88
External causes,V01-Y98,20-24,165
External causes,V01-Y98,25-29,223
External causes,V01-Y98,30-34,258
External causes,V01-Y98,35-39,235
External causes,V01-Y98,40-44,304
External causes,V01-Y98,45-49,402
External causes,V01-Y98,50-54,405
External causes,V01-Y98,55-59,435
External causes,V01-Y98,60-64,366
External causes,V01-Y98,65-69,420
External causes,V01-Y98,70-74,365
External causes,V01-Y98,75-79,459
External causes,V01-Y98,80-84,697
External causes,V01-Y98,85-89,847
External causes,V01-Y98,90-94,719
External causes,V01-Y98,95-99,221
External causes,V01-Y98,100+,31
