name1,fb_population_1,name2,fb_population_2,link_value,ds
Namur,3528,Leuven,5226,1.6890391627040017e-06,2020-07-07
Philippeville,785,Leuven,5226,1.020378729761751e-06,2020-07-07
Tielt,1278,Leuven,5226,1.4826376343322132e-06,2020-07-07
Mechelen,3833,Leuven,5226,2.236898296889886e-05,2020-07-07
Kortrijk,3914,Leuven,5226,1.797635054447568e-06,2020-07-07
Hasselt,5857,Leuven,5226,2.757322771134539e-05,2020-07-07
Thuin,1874,Leuven,5226,1.097360236164613e-06,2020-07-07
Turnhout,6138,Leuven,5226,1.2451735690381172e-05,2020-07-07
Marche-en-Famenne,730,Leuven,5226,2.003380658052504e-06,2020-07-07
Leuven,5226,Leuven,5226,0.0,2020-07-07
Tournai,1699,Soignies,2294,1.2836098223138035e-05,2020-07-07
Waremme,1007,Soignies,2294,2.1408278527796736e-06,2020-07-07
Neufchâteau,685,Soignies,2294,1.3873446590658741e-06,2020-07-07
Bastogne,497,Soignies,2294,1.591923080532154e-06,2020-07-07
Nivelles,3568,Soignies,2294,3.4946909975162897e-05,2020-07-07
Charleroi,5498,Soignies,2294,4.815908977172898e-05,2020-07-07
Tielt,1278,Soignies,2294,8.906377223808692e-07,2020-07-07
Maaseik,3486,Soignies,2294,5.629672916331069e-07,2020-07-07
Eeklo,1212,Soignies,2294,7.723266566287964e-07,2020-07-07
Liège,7113,Soignies,2294,1.7852887201603546e-06,2020-07-07
Kortrijk,3914,Soignies,2294,7.577996074625213e-07,2020-07-07
Tongeren,3001,Soignies,2294,6.075480917200344e-07,2020-07-07
Philippeville,785,Soignies,2294,1.1955731598221836e-05,2020-07-07
Brugge,3598,Soignies,2294,1.5365675499441569e-06,2020-07-07
Oostende,2471,Soignies,2294,6.587272296923606e-06,2020-07-07
Roeselare,2375,Brugge,3598,3.9030142058871466e-05,2020-07-07
Sint-Niklaas,3236,Brugge,3598,1.2383488327409925e-05,2020-07-07
Eeklo,1212,Brugge,3598,3.933241268752196e-05,2020-07-07
Bastogne,497,Brugge,3598,4.2779196509247746e-06,2020-07-07
Dendermonde,2727,Brugge,3598,1.2179128149542591e-05,2020-07-07
Maaseik,3486,Brugge,3598,5.442471611642857e-06,2020-07-07
Brussel Hoofdstad,11577,Brugge,3598,6.139931189168902e-06,2020-07-07
Mons,3186,Brugge,3598,2.4338521040758844e-06,2020-07-07
Soignies,2294,Brugge,3598,1.5365675499441569e-06,2020-07-07
Mouscron,1060,Brugge,3598,2.711742872025838e-06,2020-07-07
Thuin,1874,Brugge,3598,3.5162469255538267e-06,2020-07-07
Brugge,3598,Brugge,3598,0.0,2020-07-07
Gent,6346,Brugge,3598,2.0761900476805825e-05,2020-07-07
Mechelen,3833,Brugge,3598,9.467564623833862e-06,2020-07-07
Neufchâteau,685,Brussel Hoofdstad,11577,2.2544040178426005e-06,2020-07-07
Oudenaarde,1521,Brussel Hoofdstad,11577,9.06493858921639e-06,2020-07-07
Maaseik,3486,Brussel Hoofdstad,11577,2.8681217546551906e-06,2020-07-07
Ath,1037,Brussel Hoofdstad,11577,1.2744443172392415e-05,2020-07-07
Liège,7113,Brussel Hoofdstad,11577,6.7116972697952926e-06,2020-07-07
Brugge,3598,Brussel Hoofdstad,11577,6.139931189168902e-06,2020-07-07
Turnhout,6138,Brussel Hoofdstad,11577,2.614776772450357e-06,2020-07-07
Tongeren,3001,Brussel Hoofdstad,11577,2.1585346290102647e-06,2020-07-07
Kortrijk,3914,Brussel Hoofdstad,11577,3.115432580699224e-06,2020-07-07
Brussel Hoofdstad,11577,Brussel Hoofdstad,11577,0.0,2020-07-07
Mons,3186,Brussel Hoofdstad,11577,1.2256317798717358e-05,2020-07-07
Gent,6346,Brussel Hoofdstad,11577,7.987819047720764e-06,2020-07-07
Leuven,5226,Brussel Hoofdstad,11577,1.933435288572662e-05,2020-07-07
Tournai,1699,Mons,3186,2.7288914785326208e-05,2020-07-07
Diksmuide,717,Mons,3186,6.618499002805868e-07,2020-07-07
Ath,1037,Mons,3186,6.452696680056494e-05,2020-07-07
Namur,3528,Mons,3186,5.743094027136458e-06,2020-07-07
Dinant,1286,Mons,3186,3.281740131466139e-06,2020-07-07
Soignies,2294,Mons,3186,4.939845509980982e-05,2020-07-07
Brugge,3598,Mons,3186,2.4338521040758844e-06,2020-07-07
Liège,7113,Mons,3186,1.5264641452719672e-06,2020-07-07
Maaseik,3486,Mons,3186,4.0351945180028025e-07,2020-07-07
Dendermonde,2727,Antwerpen,11639,1.0627418848952404e-05,2020-07-07
Maaseik,3486,Antwerpen,11639,4.456779432050268e-06,2020-07-07
Mouscron,1060,Antwerpen,11639,4.6300917274725244e-07,2020-07-07
Hasselt,5857,Antwerpen,11639,5.113986791261873e-06,2020-07-07
Mons,3186,Antwerpen,11639,5.178242954258684e-07,2020-07-07
Diksmuide,717,Thuin,1874,4.3709157188926594e-07,2020-07-07
Leuven,5226,Thuin,1874,1.097360236164613e-06,2020-07-07
Namur,3528,Thuin,1874,1.2159900438184006e-05,2020-07-07
Dinant,1286,Thuin,1874,5.894632938335666e-06,2020-07-07
Roeselare,2375,Thuin,1874,4.610646145780674e-07,2020-07-07
Mechelen,3833,Thuin,1874,7.934527964481849e-07,2020-07-07
Mouscron,1060,Thuin,1874,1.1504088993215272e-06,2020-07-07
Hasselt,5857,Thuin,1874,3.445462673025893e-07,2020-07-07
Neufchâteau,685,Thuin,1874,5.162835387617072e-06,2020-07-07
Oostende,2471,Thuin,1874,7.715685653672383e-06,2020-07-07
Tielt,1278,Thuin,1874,3.8481743591448413e-07,2020-07-07
Liège,7113,Thuin,1874,3.670439972584752e-06,2020-07-07
Mons,3186,Thuin,1874,3.781598155471377e-05,2020-07-07
Thuin,1874,Thuin,1874,0.0,2020-07-07
Sint-Niklaas,3236,Waremme,1007,4.067316256528237e-07,2020-07-07
Halle-Vilvoorde,6314,Waremme,1007,4.102003304450287e-06,2020-07-07
Aalst,4062,Waremme,1007,1.5329271421045543e-06,2020-07-07
Kortrijk,3914,Waremme,1007,6.571977196359712e-07,2020-07-07
Charleroi,5498,Waremme,1007,3.7407867539199938e-06,2020-07-07
Marche-en-Famenne,730,Waremme,1007,1.2253862017842918e-05,2020-07-07
Bastogne,497,Waremme,1007,4.430279601665414e-06,2020-07-07
Gent,6346,Waremme,1007,7.104661587964881e-07,2020-07-07
Eeklo,1212,Waremme,1007,2.556395399316732e-07,2020-07-07
Soignies,2294,Waremme,1007,2.1408278527796736e-06,2020-07-07
Turnhout,6138,Waremme,1007,3.518225427228e-07,2020-07-07
Brugge,3598,Waremme,1007,1.1996972251703859e-06,2020-07-07
Namur,3528,Roeselare,2375,3.444812901490309e-07,2020-07-07
Brussel Hoofdstad,11577,Roeselare,2375,2.523169661506564e-06,2020-07-07
Veurne,911,Roeselare,2375,2.9542617979269428e-05,2020-07-07
Diksmuide,717,Roeselare,2375,9.362288799637403e-05,2020-07-07
Sint-Niklaas,3236,Roeselare,2375,4.0642268010363785e-06,2020-07-07
Arlon,787,Roeselare,2375,6.122357991548121e-07,2020-07-07
Mouscron,1060,Roeselare,2375,1.1477396320991154e-05,2020-07-07
Thuin,1874,Roeselare,2375,4.610646145780674e-07,2020-07-07
Huy,1341,Roeselare,2375,3.910783670585861e-07,2020-07-07
Mechelen,3833,Roeselare,2375,9.391685143810042e-07,2020-07-07
Soignies,2294,Roeselare,2375,4.4547943529267816e-07,2020-07-07
Brussel Hoofdstad,11577,Halle-Vilvoorde,6314,0.000112976568714795,2020-07-07
Diksmuide,717,Halle-Vilvoorde,6314,1.9096694869004e-06,2020-07-07
Liège,7113,Halle-Vilvoorde,6314,2.2450245786229217e-06,2020-07-07
Maaseik,3486,Halle-Vilvoorde,6314,1.651237833522972e-06,2020-07-07
Ath,1037,Halle-Vilvoorde,6314,6.064470667285002e-06,2020-07-07
Neufchâteau,685,Halle-Vilvoorde,6314,1.7115893028301785e-06,2020-07-07
Dinant,1286,Halle-Vilvoorde,6314,2.6950079716131704e-06,2020-07-07
Huy,1341,Halle-Vilvoorde,6314,2.4451626401131038e-06,2020-07-07
Marche-en-Famenne,730,Halle-Vilvoorde,6314,3.5804270983976005e-06,2020-07-07
Oostende,2471,Halle-Vilvoorde,6314,1.777953017999579e-05,2020-07-07
Brugge,3598,Mechelen,3833,9.467564623833862e-06,2020-07-07
Diksmuide,717,Mechelen,3833,1.1009848230548886e-06,2020-07-07
Kortrijk,3914,Mechelen,3833,1.4474903224921386e-06,2020-07-07
Mouscron,1060,Mechelen,3833,3.6112949233368245e-07,2020-07-07
Virton,592,Mechelen,3833,6.48584390920681e-07,2020-07-07
Thuin,1874,Oostende,2471,7.715685653672383e-06,2020-07-07
Neufchâteau,685,Oostende,2471,2.22515134545785e-06,2020-07-07
Philippeville,785,Oostende,2471,3.657583156200235e-06,2020-07-07
Soignies,2294,Oostende,2471,6.587272296923606e-06,2020-07-07
Dendermonde,2727,Oostende,2471,2.2586966171045333e-05,2020-07-07
Marche-en-Famenne,730,Oostende,2471,8.466882943690627e-06,2020-07-07
Sint-Niklaas,3236,Oostende,2471,1.0761247168153184e-05,2020-07-07
Brussel Hoofdstad,11577,Diksmuide,717,2.7958263890278855e-06,2020-07-07
Tielt,1278,Diksmuide,717,2.2966327330167278e-05,2020-07-07
Eeklo,1212,Diksmuide,717,7.400485598802292e-06,2020-07-07
Oudenaarde,1521,Diksmuide,717,6.954088016563431e-06,2020-07-07
Tournai,1699,Diksmuide,717,1.2236054819558279e-06,2020-07-07
Virton,592,Diksmuide,717,4.101811763945655e-07,2020-07-07
Hasselt,5857,Diksmuide,717,7.176833282705239e-07,2020-07-07
Dendermonde,2727,Diksmuide,717,2.5376717639737525e-06,2020-07-07
Charleroi,5498,Diksmuide,717,4.6959905698952685e-07,2020-07-07
Thuin,1874,Diksmuide,717,4.3709157188926594e-07,2020-07-07
Oostende,2471,Diksmuide,717,0.00010150706285493243,2020-07-07
Huy,1341,Diksmuide,717,6.902678595882007e-07,2020-07-07
Halle-Vilvoorde,6314,Ath,1037,6.064470667285002e-06,2020-07-07
Veurne,911,Ath,1037,2.3614233562397383e-05,2020-07-07
Charleroi,5498,Ath,1037,6.16682953040559e-06,2020-07-07
Turnhout,6138,Ath,1037,4.053131418567281e-07,2020-07-07
Oudenaarde,1521,Ath,1037,2.8120406646974898e-05,2020-07-07
Sint-Niklaas,3236,Ath,1037,8.075202157298104e-07,2020-07-07
Huy,1341,Ath,1037,9.213536149780994e-07,2020-07-07
Nivelles,3568,Ath,1037,8.305680514260151e-06,2020-07-07
Oostende,2471,Ath,1037,5.226436152565951e-06,2020-07-07
Thuin,1874,Veurne,911,6.031826735030903e-06,2020-07-07
Ieper,1425,Veurne,911,4.545300316286509e-05,2020-07-07
Tournai,1699,Veurne,911,1.4162226820896705e-05,2020-07-07
Virton,592,Veurne,911,3.0747213616313507e-06,2020-07-07
Brussel Hoofdstad,11577,Veurne,911,8.308986206179503e-06,2020-07-07
Waremme,1007,Veurne,911,1.5211156459520001e-05,2020-07-07
Bastogne,497,Veurne,911,1.4647587930313922e-06,2020-07-07
Nivelles,3568,Veurne,911,8.342561853647092e-06,2020-07-07
Oostende,2471,Veurne,911,9.912168970416984e-05,2020-07-07
Soignies,2294,Veurne,911,1.6282763994424346e-05,2020-07-07
Gent,6346,Veurne,911,1.8243038887217625e-05,2020-07-07
Charleroi,5498,Veurne,911,8.61490907492068e-06,2020-07-07
Halle-Vilvoorde,6314,Veurne,911,1.7732968442836604e-05,2020-07-07
Arlon,787,Veurne,911,5.604042003714509e-07,2020-07-07
Roeselare,2375,Kortrijk,3914,6.303529219915739e-05,2020-07-07
Diksmuide,717,Kortrijk,3914,1.7838377227909067e-05,2020-07-07
Tournai,1699,Kortrijk,3914,1.0863430650814974e-05,2020-07-07
Dendermonde,2727,Kortrijk,3914,6.0956239321904195e-06,2020-07-07
Thuin,1874,Kortrijk,3914,9.238501968605273e-07,2020-07-07
Sint-Niklaas,3236,Kortrijk,3914,3.1291538557932917e-06,2020-07-07
Namur,3528,Kortrijk,3914,6.170674992304308e-07,2020-07-07
Dinant,1286,Kortrijk,3914,1.34370156997985e-06,2020-07-07
Aalst,4062,Kortrijk,3914,4.991152628096176e-06,2020-07-07
Hasselt,5857,Kortrijk,3914,1.0670689045987606e-06,2020-07-07
Turnhout,6138,Kortrijk,3914,1.0731190607949523e-06,2020-07-07
Roeselare,2375,Dendermonde,2727,3.1955576510031964e-06,2020-07-07
Tielt,1278,Dendermonde,2727,4.233719237653121e-06,2020-07-07
Nivelles,3568,Dendermonde,2727,1.7774672780111665e-06,2020-07-07
Virton,592,Dendermonde,2727,2.839060182294505e-07,2020-07-07
Gent,6346,Dendermonde,2727,3.6097511650791054e-05,2020-07-07
Turnhout,6138,Dendermonde,2727,2.056692840018484e-06,2020-07-07
Kortrijk,3914,Dendermonde,2727,6.0956239321904195e-06,2020-07-07
Mouscron,1060,Dendermonde,2727,1.1776940147843278e-06,2020-07-07
Mechelen,3833,Dendermonde,2727,9.484006451241657e-06,2020-07-07
Namur,3528,Dendermonde,2727,8.927777023464144e-07,2020-07-07
Dinant,1286,Dendermonde,2727,1.2050996504029678e-06,2020-07-07
Charleroi,5498,Dendermonde,2727,7.05088783922131e-07,2020-07-07
Mons,3186,Dendermonde,2727,9.201016754691143e-07,2020-07-07
Antwerpen,11639,Dendermonde,2727,1.0627418848952404e-05,2020-07-07
Tournai,1699,Dendermonde,2727,6.547845631341972e-07,2020-07-07
Oostende,2471,Dendermonde,2727,2.2586966171045333e-05,2020-07-07
Maaseik,3486,Gent,6346,1.955322635865708e-06,2020-07-07
Philippeville,785,Gent,6346,1.6525064902998942e-06,2020-07-07
Marche-en-Famenne,730,Gent,6346,3.814961658377206e-06,2020-07-07
Thuin,1874,Gent,6346,7.609982982708295e-07,2020-07-07
Eeklo,1212,Gent,6346,8.116909734547959e-05,2020-07-07
Charleroi,5498,Gent,6346,6.566213809927451e-07,2020-07-07
Neufchâteau,685,Gent,6346,1.5514221543193183e-06,2020-07-07
Turnhout,6138,Gent,6346,2.0933128455350566e-06,2020-07-07
Mouscron,1060,Gent,6346,2.784793702895433e-06,2020-07-07
Verviers,2699,Gent,6346,6.612847639224908e-07,2020-07-07
Mons,3186,Gent,6346,7.664828836490864e-07,2020-07-07
Leuven,5226,Gent,6346,3.034968245454578e-06,2020-07-07
Mechelen,3833,Gent,6346,3.70913162307936e-06,2020-07-07
Tongeren,3001,Gent,6346,1.3786223122316888e-06,2020-07-07
Diksmuide,717,Oudenaarde,1521,6.954088016563431e-06,2020-07-07
Mouscron,1060,Oudenaarde,1521,5.404397337150118e-06,2020-07-07
Aalst,4062,Oudenaarde,1521,4.318316118427217e-05,2020-07-07
Sint-Niklaas,3236,Oudenaarde,1521,4.712646051272401e-06,2020-07-07
Veurne,911,Oudenaarde,1521,1.8976298037065296e-05,2020-07-07
Antwerpen,11639,Oudenaarde,1521,2.7442003854198924e-06,2020-07-07
Thuin,1874,Oudenaarde,1521,6.146549260141465e-07,2020-07-07
Oudenaarde,1521,Oudenaarde,1521,0.0,2020-07-07
Nivelles,3568,Oudenaarde,1521,2.0159611829153045e-06,2020-07-07
Waremme,1007,Oudenaarde,1521,4.909643847336411e-07,2020-07-07
Tongeren,3001,Oudenaarde,1521,9.217486938588452e-07,2020-07-07
Kortrijk,3914,Oudenaarde,1521,3.042892698533855e-05,2020-07-07
Namur,3528,Mouscron,1060,3.079373907893995e-06,2020-07-07
Gent,6346,Mouscron,1060,2.784793702895433e-06,2020-07-07
Brugge,3598,Mouscron,1060,2.711742872025838e-06,2020-07-07
Tongeren,3001,Mouscron,1060,2.641502448170665e-07,2020-07-07
Thuin,1874,Mouscron,1060,1.1504088993215272e-06,2020-07-07
Tielt,1278,Mouscron,1060,8.631526522283009e-06,2020-07-07
Sint-Niklaas,3236,Mouscron,1060,6.923875271124379e-07,2020-07-07
Nivelles,3568,Mouscron,1060,2.1753063234205886e-06,2020-07-07
Leuven,5226,Mouscron,1060,1.001007099641287e-06,2020-07-07
Huy,1341,Tournai,1699,4.92687869326055e-07,2020-07-07
Huy,1341,Ieper,1425,1.7243685068167975e-06,2020-07-07
Virton,592,Ieper,1425,9.678381388907705e-07,2020-07-07
Virton,592,Tournai,1699,8.872082058515254e-06,2020-07-07
Hasselt,5857,Tournai,1699,2.4958498846612877e-07,2020-07-07
Leuven,5226,Ieper,1425,1.1170797044062295e-06,2020-07-07
Maaseik,3486,Tournai,1699,2.2034822613577558e-07,2020-07-07
Tongeren,3001,Ieper,1425,1.1158445189206866e-06,2020-07-07
Oudenaarde,1521,Ieper,1425,6.475297748352179e-06,2020-07-07
Oudenaarde,1521,Tournai,1699,1.049157321323452e-05,2020-07-07
Halle-Vilvoorde,6314,Ieper,1425,1.5633838758724145e-06,2020-07-07
Marche-en-Famenne,730,Tournai,1699,9.8744820156287e-07,2020-07-07
Ieper,1425,Tournai,1699,2.7322901459390413e-06,2020-07-07
Oostende,2471,Ieper,1425,1.7930071818333547e-05,2020-07-07
Verviers,2699,Tournai,1699,6.924063402701644e-07,2020-07-07
Gent,6346,Ieper,1425,8.197670525369698e-06,2020-07-07
Aalst,4062,Tournai,1699,1.9686486191242224e-06,2020-07-07
Aalst,4062,Ieper,1425,3.0610198015417116e-06,2020-07-07
Oostende,2471,Tournai,1699,6.475708670610378e-06,2020-07-07
Diksmuide,717,Nivelles,3568,6.206562670223852e-07,2020-07-07
Tielt,1278,Nivelles,3568,5.64683114743379e-07,2020-07-07
Hasselt,5857,Nivelles,3568,1.1708544472987923e-06,2020-07-07
Huy,1341,Nivelles,3568,5.945926831990876e-06,2020-07-07
Turnhout,6138,Nivelles,3568,6.695631673029329e-07,2020-07-07
Liège,7113,Nivelles,3568,5.1918681461203385e-06,2020-07-07
Charleroi,5498,Nivelles,3568,2.631161074892193e-05,2020-07-07
Bastogne,497,Nivelles,3568,2.204497269759922e-06,2020-07-07
Sint-Niklaas,3236,Nivelles,3568,1.003315194673138e-06,2020-07-07
Gent,6346,Nivelles,3568,1.06799221583357e-06,2020-07-07
Oostende,2471,Nivelles,3568,7.773999304452108e-06,2020-07-07
Neufchâteau,685,Charleroi,5498,2.4867902586542145e-06,2020-07-07
Arlon,787,Charleroi,5498,8.264280131305356e-07,2020-07-07
Thuin,1874,Charleroi,5498,7.728575821081953e-05,2020-07-07
Verviers,2699,Charleroi,5498,8.137886549430588e-07,2020-07-07
Dendermonde,2727,Charleroi,5498,7.05088783922131e-07,2020-07-07
Marche-en-Famenne,730,Charleroi,5498,3.509944235587932e-06,2020-07-07
Nivelles,3568,Charleroi,5498,2.631161074892193e-05,2020-07-07
Dinant,1286,Namur,3528,7.23429921496687e-05,2020-07-07
Charleroi,5498,Dinant,1286,9.427821082221636e-06,2020-07-07
Charleroi,5498,Namur,3528,3.7133288698909036e-05,2020-07-07
Virton,592,Namur,3528,4.769426405268241e-06,2020-07-07
Tielt,1278,Dinant,1286,9.721390184704023e-07,2020-07-07
Veurne,911,Namur,3528,9.008340048975293e-06,2020-07-07
Tournai,1699,Namur,3528,3.214816450293101e-06,2020-07-07
Tournai,1699,Dinant,1286,6.2034786999934366e-06,2020-07-07
Ieper,1425,Dinant,1286,7.189218943332066e-07,2020-07-07
Leuven,5226,Dinant,1286,1.4310490143804134e-06,2020-07-07
Namur,3528,Dinant,1286,7.23429921496687e-05,2020-07-07
Dinant,1286,Dinant,1286,0.0,2020-07-07
Namur,3528,Namur,3528,0.0,2020-07-07
Aalst,4062,Namur,3528,1.7944143118523551e-06,2020-07-07
Virton,592,Dinant,1286,5.731021234520457e-06,2020-07-07
Sint-Niklaas,3236,Dinant,1286,1.4398820741539802e-06,2020-07-07
Sint-Niklaas,3236,Namur,3528,6.247859703982573e-07,2020-07-07
Eeklo,1212,Dinant,1286,1.0091648744967809e-06,2020-07-07
Eeklo,1212,Namur,3528,4.4662086201061524e-07,2020-07-07
Gent,6346,Dinant,1286,1.301079868039425e-06,2020-07-07
Brugge,3598,Dinant,1286,1.950989219436698e-06,2020-07-07
Soignies,2294,Namur,3528,8.074917726278271e-06,2020-07-07
Oudenaarde,1521,Dinant,1286,1.7284979601046112e-06,2020-07-07
Oudenaarde,1521,Namur,3528,7.396908197826855e-07,2020-07-07
Nivelles,3568,Dinant,1286,8.627709765708933e-06,2020-07-07
Nivelles,3568,Namur,3528,3.07507351174033e-05,2020-07-07
Aalst,4062,Dinant,1286,1.5335611969397929e-06,2020-07-07
Neufchâteau,685,Namur,3528,1.6167398485289145e-05,2020-07-07
Gent,6346,Namur,3528,8.504152873845282e-07,2020-07-07
Oostende,2471,Dinant,1286,1.3673354549996378e-05,2020-07-07
Waremme,1007,Namur,3528,2.1139211031900974e-05,2020-07-07
Arlon,787,Liège,7113,4.273209325442016e-06,2020-07-07
Mechelen,3833,Liège,7113,8.367039331516502e-07,2020-07-07
Ath,1037,Liège,7113,1.4547038271103608e-06,2020-07-07
Kortrijk,3914,Liège,7113,4.941381141342047e-07,2020-07-07
Thuin,1874,Liège,7113,3.670439972584752e-06,2020-07-07
Maaseik,3486,Liège,7113,8.399319968970262e-07,2020-07-07
Brugge,3598,Liège,7113,2.529352416403637e-06,2020-07-07
Oostende,2471,Liège,7113,5.826972645654339e-06,2020-07-07
Antwerpen,11639,Huy,1341,8.383778918813775e-07,2020-07-07
Maaseik,3486,Huy,1341,1.0362630947238471e-06,2020-07-07
Ieper,1425,Huy,1341,1.7243685068167975e-06,2020-07-07
Hasselt,5857,Huy,1341,1.7475528742568428e-06,2020-07-07
Mechelen,3833,Huy,1341,1.7241268085374168e-06,2020-07-07
Mons,3186,Huy,1341,1.3854299232793793e-06,2020-07-07
Dinant,1286,Huy,1341,1.721775161259402e-05,2020-07-07
Namur,3528,Huy,1341,3.519545959587785e-05,2020-07-07
Roeselare,2375,Marche-en-Famenne,730,2.594385507146862e-06,2020-07-07
Mouscron,1060,Marche-en-Famenne,730,2.0827179411438907e-06,2020-07-07
Hasselt,5857,Marche-en-Famenne,730,2.0925492744133827e-06,2020-07-07
Virton,592,Marche-en-Famenne,730,6.677880179592509e-06,2020-07-07
Veurne,911,Marche-en-Famenne,730,2.7106725582734186e-05,2020-07-07
Eeklo,1212,Marche-en-Famenne,730,4.1655543571317345e-07,2020-07-07
Halle-Vilvoorde,6314,Marche-en-Famenne,730,3.5804270983976005e-06,2020-07-07
Marche-en-Famenne,730,Marche-en-Famenne,730,0.0,2020-07-07
Charleroi,5498,Marche-en-Famenne,730,3.509944235587932e-06,2020-07-07
Leuven,5226,Marche-en-Famenne,730,2.003380658052504e-06,2020-07-07
Mons,3186,Marche-en-Famenne,730,2.2662647943198987e-06,2020-07-07
Liège,7113,Tielt,1278,3.339467581690213e-07,2020-07-07
Thuin,1874,Tielt,1278,3.8481743591448413e-07,2020-07-07
Tielt,1278,Tielt,1278,0.0,2020-07-07
Eeklo,1212,Tielt,1278,1.3979770527168225e-05,2020-07-07
Leuven,5226,Tielt,1278,1.4826376343322132e-06,2020-07-07
Veurne,911,Tielt,1278,1.3971021041618796e-05,2020-07-07
Brugge,3598,Tielt,1278,4.126327164670714e-05,2020-07-07
Turnhout,6138,Tielt,1278,1.0208522332641e-06,2020-07-07
Marche-en-Famenne,730,Tielt,1278,1.8029494402573054e-06,2020-07-07
Halle-Vilvoorde,6314,Tielt,1278,1.521973675013867e-06,2020-07-07
Waremme,1007,Tielt,1278,2.590111265999765e-07,2020-07-07
Gent,6346,Tielt,1278,2.83051416121636e-05,2020-07-07
Mons,3186,Tielt,1278,6.83919923094245e-07,2020-07-07
Soignies,2294,Tielt,1278,8.906377223808692e-07,2020-07-07
Hasselt,5857,Sint-Niklaas,3236,1.485929403800701e-06,2020-07-07
Tournai,1699,Sint-Niklaas,3236,4.465938923676369e-07,2020-07-07
Kortrijk,3914,Sint-Niklaas,3236,3.1291538557932917e-06,2020-07-07
Dendermonde,2727,Sint-Niklaas,3236,5.683461709360188e-05,2020-07-07
Neufchâteau,685,Sint-Niklaas,3236,9.35376962823662e-07,2020-07-07
Halle-Vilvoorde,6314,Sint-Niklaas,3236,5.545928121681947e-06,2020-07-07
Charleroi,5498,Sint-Niklaas,3236,5.407090207507575e-07,2020-07-07
Veurne,911,Sint-Niklaas,3236,1.309320308353889e-05,2020-07-07
Huy,1341,Sint-Niklaas,3236,6.28230338453416e-07,2020-07-07
Turnhout,6138,Sint-Niklaas,3236,4.137233980512553e-06,2020-07-07
Brugge,3598,Sint-Niklaas,3236,1.2383488327409925e-05,2020-07-07
Diksmuide,717,Tongeren,3001,6.659963714027979e-07,2020-07-07
Waremme,1007,Tongeren,3001,4.649260973369421e-06,2020-07-07
Dinant,1286,Tongeren,3001,2.2493931746187216e-06,2020-07-07
Namur,3528,Tongeren,3001,6.040444286510789e-07,2020-07-07
Ath,1037,Tongeren,3001,4.721171476258257e-07,2020-07-07
Brussel Hoofdstad,11577,Tongeren,3001,2.1585346290102647e-06,2020-07-07
Sint-Niklaas,3236,Tongeren,3001,1.0310119941118508e-06,2020-07-07
Aalst,4062,Tongeren,3001,1.3046911388158545e-06,2020-07-07
Bastogne,497,Tongeren,3001,1.0542566528264118e-06,2020-07-07
Charleroi,5498,Tongeren,3001,4.357395677725545e-07,2020-07-07
Eeklo,1212,Tongeren,3001,1.0843328386408086e-06,2020-07-07
Virton,592,Aalst,4062,7.661075561740258e-07,2020-07-07
Tielt,1278,Aalst,4062,5.293854262336912e-06,2020-07-07
Gent,6346,Aalst,4062,2.5614432395696108e-05,2020-07-07
Roeselare,2375,Aalst,4062,3.916888479198982e-06,2020-07-07
Nivelles,3568,Aalst,4062,5.509590591069402e-06,2020-07-07
Dendermonde,2727,Aalst,4062,4.46474847115305e-05,2020-07-07
Liège,7113,Aalst,4062,1.0806838980065399e-06,2020-07-07
Hasselt,5857,Aalst,4062,1.321145415727036e-06,2020-07-07
Thuin,1874,Aalst,4062,1.658589623869777e-06,2020-07-07
Halle-Vilvoorde,6314,Aalst,4062,3.1653005452407396e-05,2020-07-07
Turnhout,6138,Aalst,4062,1.6461273644953488e-06,2020-07-07
Mouscron,1060,Aalst,4062,2.2675401227072034e-06,2020-07-07
Soignies,2294,Aalst,4062,7.404628420018901e-06,2020-07-07
Waremme,1007,Aalst,4062,1.5329271421045543e-06,2020-07-07
Namur,3528,Aalst,4062,1.7944143118523551e-06,2020-07-07
Dinant,1286,Aalst,4062,1.5335611969397929e-06,2020-07-07
Veurne,911,Aalst,4062,1.9714961756633627e-05,2020-07-07
Brugge,3598,Aalst,4062,1.1674011647993993e-05,2020-07-07
Eeklo,1212,Aalst,4062,8.88528785412362e-06,2020-07-07
Marche-en-Famenne,730,Aalst,4062,3.408183698444923e-06,2020-07-07
Ath,1037,Aalst,4062,5.631781222765613e-06,2020-07-07
Oostende,2471,Aalst,4062,3.093323566872868e-05,2020-07-07
Leuven,5226,Aalst,4062,4.076066365248224e-06,2020-07-07
Soignies,2294,Mechelen,3833,1.4263962794550303e-06,2020-07-07
Veurne,911,Mechelen,3833,1.1518985210464516e-05,2020-07-07
Halle-Vilvoorde,6314,Mechelen,3833,1.8846370624460398e-05,2020-07-07
Roeselare,2375,Mechelen,3833,9.391685143810042e-07,2020-07-07
Gent,6346,Mechelen,3833,3.70913162307936e-06,2020-07-07
Philippeville,785,Mechelen,3833,4.014208828750996e-07,2020-07-07
Maaseik,3486,Mechelen,3833,3.910650033492565e-06,2020-07-07
Oudenaarde,1521,Mechelen,3833,1.5067301436684726e-06,2020-07-07
Aalst,4062,Mechelen,3833,4.795178142809168e-06,2020-07-07
Liège,7113,Mechelen,3833,8.367039331516502e-07,2020-07-07
Nivelles,3568,Mechelen,3833,1.805440791934353e-06,2020-07-07
